,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
526,Tropical Cyclone ,Typhoon Pepang ,"October 11, 1999",,,Region I|II|CAR,,,Cagayan Province under State of Calamity,,,"PNART, PHILFLT, PMAR, NAVFORNORTH","REGION 1: M35 Truck, 1 helicopter, 1 rubber boat and 1 M-35 truck from PNART, 1 MARU rubber boat and 1 M35 truck, 2 PNARTs, 2 rubber boats, 2 M-35 trucks, and 1 SWG team with 1 rubber boat from NAVFORNORTH. REGION 2 - 5 dump trucks, 5 teams from PDCC, Rescue 29. CAR - CDRCC assests 1 pick-up and 1 generator from DOTC, IVHF radio from PNP",1296,18,22,3,84089,444770,,,2336,11091,"National - 122,693,020.00, School Buildings - 6, 080, 000.00, Local - 122, 693, 020.00, Electric Posts - 5,000,000,.00, Others - 1, 111, 900.00","Agriculture - 332, 385, 717.25, Fisheries - 8, 106, 260.00",,,,,,,,,,"Lingap Para sa Mahirap Foundation thru Congressman Rodolfo Aguinaldo, PDCC, DWSD, ABS-CBN Foundation, PNRC Cagayan",,,,"Region I - 50 cavans of rice. Region II - 4, 138 packs of relief goods (rice and assorted canned goods), 400 cavans of rice from NFA, DWSD II to  PDCC - 50 boxes of RTEF, 20 family packs, 50 sacks of rice, 5 cases of sardines, 5 cans of condensed milk, 10 cans nido milk, 50 kilos of refined sugar, ABS-CBN 1,000 packs of relief goods, PNRC Cagayan - 600 packs of relief goods",,,,,,,,"459, 125.50 (DSWD - 41, 300.00, LGU - 167, 598.00, NGO/GO - 58, 495.00, PGO/PSWDO - 89,094.00)","Region I - rescue teams in San Maniel and Bayombong Towns. Region II - 505th PAF Search and Rescue Team, Aerial Survey by RDCC and PDCC",,P 10.0 Million,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-10-11,1999-10-11,a6871ca935f54c4e86d5d782be5ed3f6
527,Tropical Cyclone, Typhoon Neneng,"September 13, 1999",,,Region I|II|CAR,,PAGASA,"Public Storm Signal No. 1 Batanes Group of Islands, Ilocos Provinces, Pangasinan, La Union",,,,,,15,2,,1163,6730,825,4577,52,112,,,,,,"CAR - Kabugao-Calanasan-Claveria Cagayan Road was closed due to traffic, Baguio-Benguet Kennon Road closed due to traffic because of huge slides, NCR - Marikina-Tumana Bridge not passable to all types of vehicles",,,,,,"MDCC, NGOs, ABS-CBN",,,"91, 965.00 worth of assorted relief goods from ABS-CBN","MDCC & NGOs -  Batingan - 2 cavans of rice, 1 box of noodles, 8 bags bread, 14 packs  assorted goods, 7 cavans rice.  Darangan - 2 boxes of noodles, 1 box of 11 tins sardines, 10 bags bread, 102 assorted goods, 42 packs powdered milk, medicines, 10 tins sardines, 94 packs of assorted goods, 3 cavans of rice, box of sardines, 38 cups of noodles, 100 packs biscuits, 1 box powdered milk, 2 packs of assorted goods, 5 sacks of rice, 100 cans of sardines, 1 box of noodles, 13 packs of assorted goods",,,,"6 sacks of used clothing, 3 blankets",,medicines,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-09-13,1999-09-13,aa5c299f8a9448abafde5740e48ef35d
528,Tropical Cyclone,Tropical Strom Luding,"August 18-21, 1999",,,CAR|I|II|III,,,"Flood Advisories in Cagayan River, Guagua River Basin, and Agno River. NPC Dam Monitoring particularly in Ambuklao, Binga, and Angat. NDCC-OCD disseminated dam water level to OCD regional centers. RDCC activated Disaster Coordinating Council and Emergency Broadcast System with KBP. Class Suspension in elementary and secondary levels for Region II",,22,"NDCC-OCD: All rescue units are on standby for resuce and evacuation. AFPDRTF of Northern Luzon are on standby for emergency response as well. CAR: DENR rescue team with 20 personnel. NFA stationed 4 rolling stores with 38,000 bags of rice.  DSWD pre-positioned food stuff to all provinces. ",DPWH: 6x6 truck to haul DSWD relief goods from Region III to CAR. DOTC 5 vehicles on standby.,211,10,23,1,7089,35222,3240,16978,34,373,Php 128.404 M,Php 29.432 M,,,,"Roads in Cagayan 1st ED were damaged particularly KM 544-546 along JGCCSM BPR with a road surface washed out, est. total cost of damages is Php 1.700M. In Isabela 1st ED, the Binatucan-Spillway-Aurora section was not passable to all types of vehicles and incurred total damages amounting to Php 5.000 M. Bridges in Quirino (Banuban, Nanagucan, Manabusao, Pigalan, Mazapit, Magapit incurred an estimated total cost of Php 2.900 M ",,,,,,,,,,,,,,,,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-08-18,1999-08-21,756f5d581734484c84d6fe27547fe46f
529,Tropical Cyclone Ising ,Typhoon Ising ,"August 3, 1999",,,Region III,,,,,170,"AFP MSUT LOGCOM(NOLCOM), BFP, RDCC 3, NIA, DPWH, 600TH ABW PAF, CSAF3 PAF, ARMY SUPPORT COMMAND PA, 69TH 7ID PA, PNRC PAMPANGA CHAPTER, NFA","AFP MSUT LOGCOM(NOLCOM) - 2 M35 trucks, BFP - 1 rescue boat with outboard motor, 21 Man Rescue Team, Ambulance with paramedic, RDCC 3 - 6 rescue boats with outboard motor, 3 wooden boats with outboard motor, 3 Teams of 7-Man Rescue Team, NIA - Stake Truck, Dump Truck , DPWH - Crane Truck and Dump Truck, 600TH ABW PAF - 2 M35 Truck, Rescue Team, CSAF3 PAF - UH-IH Helicopter, ARMY SUPPORT COMMAND PA - 2 M35 trucks, 1 rescue team, 69TH 7ID PA - 2 teams of 10 man rescue team, PNRC PAMPANGA CHAPTER - 1 rescue team, NFA - 3 rubber boats, 3 teams of 7-man rescue team",748,45,2,2,263324,1245917,7734,37015,31,163,"115.541 M (National), 154.034 (Provincial, Municipal, Barangay)",984..673 M,,,,Angeles and Porac road were not passable to light vehicles,,,,,Php 385000,"Provincial Government, Municipal Government, PNRC/NGOs and DSWD, PNP Task Force Kaligtasan, AFP NDRTF, BFP, NFA",,,,"50,000 pieaces of empty sacks to RDCC for sandbagging",,,,,"Php 289, 550",drugs and medicines from DOH,,14.372 M," PNP Task Force Kaligtasan, AFP NDRTF, BFP, NFA 6 officers and 65 personnel for DRT in SAR, Evacuation and Relief Operations. BFP Adnaced Comman Post at the RDCC Operations Center with radio communication, ambulance, and para-medic personnel.",,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-08-03,1999-08-03,fd17064750df469a98ab117c1af660b4
530,Tropical Cyclone,Typhoon Helming,1999-07-25 00:00:00,,,NCR|I|CAR|III,,,"Agno river Basin Hydrological Response - expected to rise within the next 24 hours. Possibility of flooding in the low lying areas : Binalonan, San Jacinto, Laoc, Manaoag, Mangaldan, Mapandan, Santa Barbara, Calasiao, Bayambang, Bautista, Alcala, Santo Tomas, Urbiztondo, Mangatarem, Aguilar, Bugallon, Labrador, Lingayen, Urdaneta, Dagupan, and San Carlos.",,,,,46,,,1,11,55,Evacuees stayed with relatives,,3,,Php 13.630M,Php 2.511M,,"CAR Kapangan - Kibungan Road was closed to all vehicles, Mt. Province declared not passable due to landslide. Pampanga Mancatian Bridge not passable and Pulong Maragul also not passable.",,,,,,,,,,,,,,,,,,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-07-25,1999-07-25,346dbeee4c2447a088b4f213ead96703
531,Tropical Cyclone,Typhoon Etang and Tropical Depression Gening,"June 4-5, 1999",,,Region V|III|I|II,Lahar|Flood (General)|Landslide (Wet),,,,,,,,9,9,1,363 (Region 3),1521 (Region 3),260 (Region 1 and 3),1073 (Region 1 and 3),67 (Region 3),142 (Region 3),,"For Region 2 and Region 3 - Php 67, 550.00",,,,"Abra-Kalinga-Road - km 471-485 closed, Kalinga Tabuk Banaue is hardly passable due to slippery roads km 509-516",,,,,,,,,,"5 sacks of rice, 1 case of sardines, 1 box of noodles for Barangay Tabucolan. 5 sacks of rice, 6 boxes of canned goods, 1 box of sardines, 1 box pork and beans, 1 box of meat loaf for Brgy. Pasongol and Brgy. Fuerte in Ilocos Sur. Region III MDCC Mariveles, family packs consisting of 2 kilos of rice, 2 canned goods, 2 packs of noodles. 2 kilos of rice, 2 canned goods, 2 packs of noodles per family for Mariveles, Bataan",,,,"Blanket per family in Mariveles, Bataan",,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-06-04,1999-06-05,3b776020f7ac4ebbbf70ecccae304123
534,Drought,The Extraordinary Drought in the Philippines,"October 1911 - May 1912
",,,Manila,,Manila Observatory,,,,,,,,,,,,,,,,,"1) Production number of the following crops were reduced : rice, corn, root crops, coconuts, abaca (almost all crops) 2) Insufficient and delayed yield
",,,,,,,,,,,,,,,,,,,,,,,,,,,"1) Rev. Jose Coronas S.J.. Chief, Meteorological Division, Weather Bureau, Manila Observatory. (1920) The Climate and Weather of the Philippines, 1903-1918, pg.44,111, 115. Manila: Bureau of Printing. URL: http://name.umdl.umich.edu/AGH9000.0001.001 2) ""Remarkable Drought in the Philippines"" (1913).  Nature, Volume 91, No. 2277, pg. 409. Nature Publishing Group. ","1) Highest temperature recorded for the month of April is 37.5C while for May, it is 38.3C 2) The observed drought is considered as the worst since the observatory's establishment. 3) Recorded total rainfall of Manila is 3.73 in, April is the driest month. The recorded rainfall data is 0.03 in. 4) Data from other stations covered only a short period of time which makes it not as convincing as those with Manila.","A publication material entitled ""The Extraordinary Drought in the Philippines, October, 1911 to May, 1912"" by Rev. Jose Coronas, S.J. was published by the Bureau of Printing and distributed in Manila in 1912. ",,1911-10-01,1912-05-31,33a4fb3c706345528074086d46825760
535,Drought,The Extraordinary Drought in the Philippines,1849,,,Manila,,Manila Cathedral,,Offer public prayers or rogativas,,,,,,,,,,,,,,,Amount of rainfall around the month of August may be considered as one of the lowest possible before the advent of instrumental observation which started around 1865,,,,,,,,,,,,,,,,,,,,,,,,,,,"1) Warren, J.F. (2013). Climate Change and the Impact of Drought on Human Affairs and Human History in the Philippines, 1582-2009. (Working Paper No. 174 ISSN No. 1037-4612). National Library of Australia, Murdoch University, Perth, Western Australia. Retrieved from https://www.murdoch.edu.au/Research-capabilities/Asia-Research-Centre/_document/Warren-drought-paper--final-version-copy-3-3.pdf 2)  Miller, Hugo Herman (1913). Economic conditions in the Philippines, pg. 147. Boston, New York (etc.): Ginn and Company URL: http://name.umdl.umich.edu/AFQ6770.0001.001",,"The drought of 1849, according to Warren (2013), was included in the circular which was distributed by the Manila Cathedral. The circular was written by  the Archbishop of Manila, Fr. Jose Aranguren . This circular reflects in the reports written by Rev. Miguel Selga S.J., Director of Weather Bureau during that time. ",,1849-01-01,1849-12-31,0029c9e4b20a4b468e35a280d146afa0
536,Drought,The Extraordinary Drought in the Philippines,1878,,,Negros Occidental|Aklan|Iloilo|Capiz|Antique,,Manila Observatory,,,,,,,Widespread mortality,,,,,,,,,,"Reduced prices of sugar, inflated price of rice, unemployment",,,,,,,,,,,,,,,,,,,,,,,,,,,"1) Warren, J.F. (2013). Climate Change and the Impact of Drought on Human Affairs and Human History in the Philippines, 1582-2009. (Working Paper No. 174 ISSN No. 1037-4612). National Library of Australia, Murdoch University, Perth, Western Australia. Retrieved from https://www.murdoch.edu.au/Research-capabilities/Asia-Research-Centre/_document/Warren-drought-paper--final-version-copy-3-3.pdf 2) Rev. Jose Coronas S.J.. Chief, Meteorological Division, Weather Bureau, Manila Observatory. (1920)The Climate and Weather of the Philippines, 1903-1918, pg.44. Manila: Bureau of Printing. URL: http://name.umdl.umich.edu/AGH9000.0001.001","FOR MANILA: From 1865 to 1880, the only year with the maximum temperature greater than the recorded in 1915 (38.6C) is the year 1878. Absolute maximum temperature on May 17 is 39.7C, May 2 is 38.7C, and on April 29 it is 39.2C","1878 was chosen because according to Warren (2013), most of the sources used indicate that a drought season happened during the said year. The list can be found in Table 2 of page 8 in the paper. ",,1878-01-01,1878-12-31,404d7c30ddef4f8d9645bbb1d5f74f50
537,Drought,The Extraordinary Drought in the Philippines,1902-1903,,,Cebu|Leyte|Mindanao,,,,,,,,,,,,,"Poor peasants, women (because they are tasked to find and provide for their constituents during this time)",,,,,,1) Cebu's corn almost reached total failure 2) A reduction in the agricultural production due to limited amount or lack of rainfall specifically in the growth of rice in Luzon and Leyte 3) Cebu experienced famine 4) The municipality of Amburayan experienced failure in rice crops,,,,,,,1) Lack of clean and potable water supply 2) Water is sold at extremely high prices in Guimaras,,,,,,,,,,,,,,,,,,,,"1) ""SeventhAnnual Report of the Secretary of the Interior to the Philippine Commission for the Fiscal Year Ended June 30, 1908 Manila Bureau of Printing"" (1908). Washington: Government Printing Office. URL: http://name.umdl.umich.edu/ACC6740.1908.001 2) Rev. Jose Coronas S.J.. Chief, Meteorological Division, Weather Bureau, Manila Observatory. (1920) The Climate and Weather of the Philippines, 1903-1918, pg. 115. Manila: Bureau of Printing. URL: http://name.umdl.umich.edu/AGH9000.0001.001 3)  Warren, J.F. (2013). Climate Change and the Impact of Drought on Human Affairs and Human History in the Philippines, 1582-2009. (Working Paper No. 174 ISSN No. 1037-4612). National Library of Australia, Murdoch University, Perth, Western Australia. Retrieved from https://www.murdoch.edu.au/Research-capabilities/Asia-Research-Centre/_document/Warren-drought-paper--final-version-copy-3-3.pdf",,"The municipality of Amburayan's reviving crop production  due to drouth as stated in the ""7th Annual Report of the Secretary of the Interior to the Philippine Commission for the Fiscal Year Ended June 30, 1908"" by Manila Bureau of Printing (1908) is assumed to be  the drought of 1902-1903, the nearest reported drouth year to 1908.",,1902-01-01,1903-12-31,dd3e1506d2a14f3b95a9eed07eb97165
538,Drought,The Extraordinary Drought in the Philippines,1968-1969,,,Region V,,,,,,,,,,,,,,,,,,,"500,000 mt of corn and rice",,,,,,,,,,,,,,,,,,,,,,,,,,,"HIlario, F., De Guzman, R., Ortega, D., Hayman, P., & Alexander, B. (2009). El Nino Southern Oscillation in the Philippines: Impacts, Forecasts, and Risk Management. Philippine Journal of Development, Volume 36, No. 1, 13-17. Retrieved from https://dirp3.pids.gov.ph/ris/pjd/pidspjd09-1enso.pdf.",,,,1968-01-01,1969-12-31,49e0b27d3818413b85aa6f84b1fcff7f
540,Tropical Cyclone,Nando (Kong Rey),"August 25-29, 2013",,,"Sarat, Piddig, Laoaog City, Paoay, Nueva Era, Ilocos Norte|Almagro, Samar|Tublay, Baguio City, Benguet|Bulan, Magallanes, Sorsogon|",Flood (General)|Flashflood|Landslide (Wet),"NDRRMC Operations Center, PAGASA, DSWD, DILG, DOH, DPWH, PCG, AFP, PNP, BFP, PIA, PRC, RDRRMC 1, 2, 4-A, 5, 8, CAR,",Blue and Red Alert Status/ Tropical Storm,Yes,4,Yes,Not specified,30,1,1,0,3699,17741,20,Not indicated,0,10,70000,Not indicated,Not indicated,Not indicated,Not indicated,Four (4) roads were closed to traffic due to landslides in the Province of Benguet and llocos Norte,77 passengers and 12 Motorized Bancas (MSCAs) were stranded in Bicol and Cagayan Region,Not indicated,Binga and Ambuklao Dams opened one (1) gate each to releas water from the reservoir in anticipation of the expected heavy inflow due to the weather disturbance,Not indicated,411127.59,Not indicated,Not indicated,Not indicated,16971212.48,67649,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,111336249.48,12813071462,Not indicated,Not indicated,Not indicated,Not indicated,"OCD-NDRRMC (2013). Final report re Effects Preparedness Measures and Effects of Tropical Storm ""NANDO"" (KONG~REY). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-08-25,2013-08-29,a1ae309873694aaabf6711200b9fad7a
541,Tropical Cyclone,Yolanda (Haiyan),"November 6-9, 2013",,,Region 4-A|4-B|5|6|7|8|10|11|13,Storm Surge|Flood (General)|Flashflood|Landslide (Wet),"NDRRMC Operations Center, PAGASA, PHIVOLCS, DENR, DepEd, DOTC, DSWD, DILG, DOH, DPWH, PCG, AFP, PNP, BFP, PIA, PRC, NGCP, NFA, OCD/RORRMCs I, 111, IV-A, IV-8, V; VI, VIII, X, XI, and NCR, etc.",Red Alert Status/ Tropical Cyclone/ Storm Surge,Yes,812,Yes,Various,12139,6300,28688,1062,3424593,16078181,1093023,5130580,550928,589404,9584596306,25248043377,24431165315,Power blackout due to heavy damages to transmission lines in all affected regions,All telecommunication facilities were down in all affected regions,Not specified,"A total of 10,974 families with 54,795 persons ( to include 2, 149 stranded passengers) were affected",Not specified,Not indicated,Not indicated,4160639 (region 5 only),Yes,Not indicated,Not indicated,Not indicated,At least 368962 food packs,Not indicated,Not indicated,Not indicated,Not indicated,At least 2549504.95,Not specified,Not indicated,Not indicated,Yes,Not indicated,Not indicated,Not indicated,"OCD-NDRRMC (2013).FINAL REPORT re EFFECTS of Typhoon ""YOLANDA'' (HAIYAN). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-11-06,2013-11-09,907bcc8f65d4448aad7e5efc27a293bf
542,Tropical Cyclone,Vinta (Krosa),"October 29 - November 1, 2013",,,Region 1|2|CAR,,"NDRRMC Operations Center, PAGASA, PHIVOLCS, DENR, DepEd, DOTC, DSWD, DILG, DOH, DPWH, PCG, AFP, PNP, BFP, PIA, PRC, NGCP, NFA, OCD/RORRMCs 1, 2 and CAR",RED Alert Status,Yes,65,Yes,Various,688,4,1,2,55369,265769,14655,70658,3897,33626,4007140,272923976.63,0,"Power outage has been experienced in the provinces of
 Apayao, llocos Norte, and Cagayan","Communication outage has been experienced in the provinces of
 Apayao, llocos Norte, and Cagayan",Six (6) roads and three (3) bridges were declared impassable during the height of the typhoon in Regions II and CAR were already passable,Not indicated,Not indicated,Not indicated,Not indicated,3672423.68,Not indicated,Not indicated,Not indicated,12080393.29,44581,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,76945232.24,93215479.11,Yes,Not indicated,Not indicated,Not indicated,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""VINTA"" (KROSA). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-10-29,2013-11-01,ab6d33d4ac914c37881d2f7fec1f93a4
543,Tropical Cyclone,Odette (Usagi),"September 16-22, 2013",,,Region CAR|1|2|3|4-B|5|6,Landslide (Wet)|Flood (General)|Tornado|Storm Surge,,RED Alert Status,Yes,24,Yes,Various,180,4,0,2,17041,79127,1575,6657,586,2877,308022540,32315986.86,,"Power interruptions were experie nced in lfugao , Kal inga , Apayao , and Baguio, City in CAR ; 8atanes an d Calay an Group of Islands ; and Sablayan and Abrade llog in Occidental Mindoro for almost three (3) days",,"Nine (9) road sections (2 in Re gion I, 1 in Region II , and 6 in CAR) were rende red impassable during th e height of TY Odette . 4 Roads in CAR was impassable due to landsl ide and falling debris wh ile the 8albalan - Pinukpuk Road in 8enguet Regions I a nd II were rendered impassable due to floodwaters",56 passengers were stranded,,Two (2) ma j or dams in Benguet reached their critical levels .,,15018258.6,Yes,Not indicated,4957210,Not clear,"At least 26,118 family food packs and other non-food items",Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,Not indicated,15018258.6,Yes,Not indicated,Not indicated,Not indicated,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""ODETTE"" (USAGI). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-09-16,2013-09-22,d0110c0eb7b5403d924360fd6600344b
544,Tropical Cyclone,Auring (Sonamu),"January 03-04, 2013",,,Region 4-B|9|11,,,,,9,,,30,2,12,,2611,10597,2573,10423,63,122,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""AURING"" (SONAMU). OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-01-03,2013-01-04,23674d2f6e5f457f8b3614f51c6bc724
545,Tropical Cyclone,Bising,"January 11-13, 2013",,,Region 11|12|13,,,,,25,,,66,,,,5454,16801,2756,7880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""BISING"". OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-01-11,2013-01-13,a58f936e33a4412fba7602bdb83455f7
546,Tropical Cyclone,Crising,"February 18-21, 2013",,,Region 4-B|6|7|8|9|10|11|12|13|ARMM,,,,,31,,,255,12,4,2,72086,360577,,,,,,11241800,,,,,,,,,,,,,,,,,,,,,,20947150,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""CRISING"". OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed March 10, 2018.",,,,2013-02-18,2013-02-21,2ffb906e03ed47a1b13e006b4dec8d2c
547,Tropical Cyclone,Fabian,"June 20-21, 2013",,,4-B,,,,,0,,,,0,,,49,198,49,198,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OCD-NDRRMC (2013). FINAL REPORT re Effects of Typhoon ""FABIAN"". OCD-NDRRMC, Camp Aguinaldo, Quezon City, p. 9. Accessed April 12, 2018.",,,,2013-06-20,2013-06-21,de4946f3629942cb91222fddf37349d6
